Species,Region,Year,Abundance (arb. u.),Color
Emunctator sorbens,Pacific,1,9.778159289044272,Brown
Emunctator sorbens,Pacific,2, 9.749845123998403,Brown
Emunctator sorbens,Pacific,3, 9.767318814545964,Brown
Emunctator sorbens,Pacific,4, 9.413985072635104,Brown
Emunctator sorbens,Pacific,5, 9.561771299755065,Brown
Emunctator sorbens,Pacific,6, 9.55016161139615,Brown
Emunctator sorbens,Pacific,7, 9.639845487002194,Brown
Emunctator sorbens,Pacific,8, 9.682603892640449,Brown
Emunctator sorbens,Pacific,9, 9.317916972847359,Brown
Emunctator sorbens,Pacific,10, 9.57958835592211,Brown
Emunctator sorbens,Pacific,11, 9.792923294778047,Brown
Emunctator sorbens,Pacific,12, 9.397626237488895,Brown
Emunctator sorbens,Pacific,13, 9.588764215700138,Brown
Emunctator sorbens,Pacific,14, 9.320028404862658,Brown
Emunctator sorbens,Pacific,15, 9.546618459058662,Brown
Emunctator sorbens,Pacific,16, 9.390104523228834,Brown
Emunctator sorbens,Pacific,17, 8.766455779339726,Brown
Emunctator sorbens,Pacific,18, 8.809380857952236,Brown
Emunctator sorbens,Pacific,19, 8.9763796122454,Brown
Emunctator sorbens,Pacific,20, 8.786575655614781,Brown
Emunctator sorbens,Pacific,21, 8.654257163121105,Brown
Emunctator sorbens,Pacific,22, 8.806768694030344,Brown
Emunctator sorbens,Pacific,23, 8.431765700766716,Brown
Emunctator sorbens,Pacific,24, 8.373852111760781,Brown
Emunctator sorbens,Pacific,25, 8.357323475872548,Brown
Emunctator sorbens,Pacific,26, 8.17546048472832,Brown
Emunctator sorbens,Pacific,27, 8.105714069615292,Brown
Emunctator sorbens,Pacific,28, 8.173805071765418,Brown
Emunctator sorbens,Pacific,29, 8.089065532276003,Brown
Emunctator sorbens,Pacific,30, 7.769405983120616,Brown
Emunctator sorbens,Pacific,31, 7.5177142016889515,Brown
Emunctator sorbens,Pacific,32, 7.398725271480451,Brown
Emunctator sorbens,Pacific,33, 7.427290668019084,Brown
Emunctator sorbens,Pacific,34, 7.363069367476619,Brown
Emunctator sorbens,Pacific,35, 7.158782935217303,Brown
Emunctator sorbens,Pacific,36, 7.0377675256694205,Brown
Emunctator sorbens,Pacific,37, 6.759803600136565,Brown
Emunctator sorbens,Pacific,38, 6.877275110685107,Brown
Emunctator sorbens,Pacific,39, 6.81968480544511,Brown
Emunctator sorbens,Pacific,40, 6.525733822491741,Brown
Emunctator sorbens,Pacific,41, 6.509238728940781,Brown
Emunctator sorbens,Pacific,42, 6.673394761426826,Brown
Emunctator sorbens,Pacific,43, 6.372930665770111,Brown
Emunctator sorbens,Pacific,44, 6.474643294245733,Brown
Emunctator sorbens,Pacific,45, 6.214987700027633,Brown
Emunctator sorbens,Pacific,46, 6.075221358652833,Brown
Emunctator sorbens,Pacific,47, 5.9090613983570925,Brown
Emunctator sorbens,Pacific,48, 5.9495538290951,Brown
Emunctator sorbens,Pacific,49, 5.726636131165955,Brown
Emunctator sorbens,Pacific,50, 5.304433471665401,Brown
Emunctator sorbens,Atlantic,1,10.258538336972624,Orange
Emunctator sorbens,Atlantic,2, 10.367483198915702,Orange
Emunctator sorbens,Atlantic,3, 10.20031290434262,Orange
Emunctator sorbens,Atlantic,4, 9.692956669968755,Orange
Emunctator sorbens,Atlantic,5, 9.702018455610276,Orange
Emunctator sorbens,Atlantic,6, 10.002401103479587,Orange
Emunctator sorbens,Atlantic,7, 9.875667862583242,Orange
Emunctator sorbens,Atlantic,8, 9.871551373829723,Orange
Emunctator sorbens,Atlantic,9, 10.147932769152227,Orange
Emunctator sorbens,Atlantic,10, 10.139032256892586,Orange
Emunctator sorbens,Atlantic,11, 10.30107465099974,Orange
Emunctator sorbens,Atlantic,12, 9.98499474006212,Orange
Emunctator sorbens,Atlantic,13, 10.274995711274016,Orange
Emunctator sorbens,Atlantic,14, 9.954314145874436,Orange
Emunctator sorbens,Atlantic,15, 10.292570338166218,Orange
Emunctator sorbens,Atlantic,16, 10.090518555650851,Orange
Emunctator sorbens,Atlantic,17, 9.851238067888007,Orange
Emunctator sorbens,Atlantic,18, 9.642012903209451,Orange
Emunctator sorbens,Atlantic,19, 9.84485988777483,Orange
Emunctator sorbens,Atlantic,20, 9.909167459099267,Orange
Emunctator sorbens,Atlantic,21, 10.14951593686351,Orange
Emunctator sorbens,Atlantic,22, 10.014164172588734,Orange
Emunctator sorbens,Atlantic,23, 9.917387755938531,Orange
Emunctator sorbens,Atlantic,24, 10.196313397373768,Orange
Emunctator sorbens,Atlantic,25, 10.002211187487145,Orange
Emunctator sorbens,Atlantic,26, 9.885959438109646,Orange
Emunctator sorbens,Atlantic,27, 10.086125155395052,Orange
Emunctator sorbens,Atlantic,28, 9.92349106606965,Orange
Emunctator sorbens,Atlantic,29, 10.112972384753444,Orange
Emunctator sorbens,Atlantic,30, 9.908646136896037,Orange
Emunctator sorbens,Atlantic,31, 9.93237952469836,Orange
Emunctator sorbens,Atlantic,32, 10.01330946318707,Orange
Emunctator sorbens,Atlantic,33, 9.928748304956834,Orange
Emunctator sorbens,Atlantic,34, 9.979263260303807,Orange
Emunctator sorbens,Atlantic,35, 10.159141706219541,Orange
